Name	Mass	m/z	RT min	RT	Cel_1dil40_1-B,3_01_21146	Cel_1dil40_1-B,3_01_21151	Cel_1dil40_1-B,3_01_21156	Cel_1dil40_1-B,3_01_21161	Cel_1dil40_1-B,3_01_21166
Cluster_07412	472.2055282	495.1947492	3.491845671	426.5296669	3902.016357	3675.430664	3606.981201	3874.747314	3719.639648
Cluster_07420	472.354425	495.343646	24.50893223	1294.20929	1321.866211	1579.747559	1260.115845	1518.202271	1433.873047
Cluster_07431	495.3326682	496.3399442	31.89405	1700.485528	14196.55859	13783.83789	12324.77539	13692.97461	13420.97363
Cluster_07432	495.3324331	496.3397091	32.38827892	1727.788407	7662.200195	6733.738281	6144.722168	6720.460938	6938.280762
Cluster_07433	473.3512685	496.3404895	26.80470663	1423.0363	20447.59766	17689.08398	16508.42383	17481.60156	18795.15625
Cluster_07438	495.3324331	496.3397091	32.38827892	1727.788407	7662.200195	6733.738281	6144.722168	6720.460938	6938.280762
Cluster_07445	474.1287254	497.1179464	4.316373004	451.3100156	2989.301758	2837.146973	3408.036377	3669.263184	3530.062744
Cluster_07450	496.1208398	497.1281158	4.320187991	451.4246713	1049.455444	1121.966187	1065.77417	1264.541016	1319.409546
Cluster_07454	474.2348882	497.2241092	18.48183904	953.1599999	3819.164551	3642.55127	3678.049316	3675.113525	3986.049072
Cluster_07476	480.248526	498.282352	28.03276315	1490.843866	2762.55127	2368.92334	2168.165039	1896.380615	1513.152466
Cluster_07480	475.2975144	498.2867354	28.03669384	1491.0609	2248.341064	2019.217529	1540.020752	1637.456299	1332.149292
Cluster_07484	480.2992443	498.3330703	11.04009544	626.5583485	3807.437012	3687.35791	3630.984863	4025.889893	4244.877441
Cluster_07494	498.0953905	499.1026665	15.24495799	790.3022191	8515.737305	10355.43945	10477.47363	9320.170898	8868.211914
Cluster_07495	498.104114	499.11139	15.25212002	790.610486	17337.82813	17454.4043	17938.75195	20622.95117	19186.01563
Cluster_07496	476.1219131	499.1111341	13.26997813	705.2954311	12638.27637	12162.9541	12032.88965	13453.96289	12905.58496
Cluster_07498	498.1499916	499.1572676	12.2699281	669.4284241	5317.675781	4763.580566	4740.829102	4627.439941	5258.419434
Cluster_07516	482.0972254	500.1310514	11.37318602	638.1693739	2265.304199	2182.371094	2100.82251	2409.294922	2043.258423
Cluster_07518	482.1176394	500.1514654	8.152648679	551.0437829	133622.7656	121917.7422	121806.8203	136936.6563	128368.875
Cluster_07519	499.1604012	500.1676772	18.57028856	957.9526237	1060.684326	1244.319946	1126.424805	1231.958252	1308.06897
Cluster_07523	477.2870485	500.2762695	25.26078746	1336.606315	7390.812988	7863.214844	7576.805176	8360.604492	7308.388184
Cluster_07524	477.2883422	500.2775632	24.31378487	1283.047566	152705.6719	145962.9063	148343.4219	170766.4688	170050.2969
Cluster_07534	499.2967974	500.3040734	19.95350155	1034.206394	2743.863525	2614.463867	2620.560791	2712.5354	2717.467529
Cluster_07538	499.3366012	500.3438772	12.11562407	664.0496226	5424.293945	5403.141113	5056.403809	5750.549805	5779.953125
Cluster_07546	478.1136513	501.1028723	17.12298862	881.3953596	2154.155029	2173.746826	2005.139282	2137.374512	1878.060791
Cluster_07556	500.294927	501.302203	2.048932838	338.9753749	1841.19165	1943.842163	2210.522705	2572.431396	2797.181152
Cluster_07557	500.2926763	501.2999523	24.31269155	1282.985033	1648.042358	1824.98877	1696.005493	1822.603394	1877.786987
Cluster_07567	479.1099906	502.0992116	7.95869413	546.5765837	2202.991943	2041.898438	2064.917725	2161.793701	2095.601807
Cluster_07577	479.3040662	502.2932872	25.3664709	1342.552528	45101.95703	40383.62109	38963.5625	42815.53906	42044.76953
Cluster_07578	479.3009966	502.2902176	27.10645192	1439.697271	3635.2146	2796.742432	2505.376953	2197.540283	2346.939941
Cluster_07580	501.2860194	502.2932954	25.81334851	1367.695818	17613.97656	16920.67773	17243.91602	19786.72656	20066.33203
Cluster_07581	479.3010997	502.2903207	27.71638528	1473.374952	6221.253418	5062.530762	4515.655273	4346.23877	4758.243164
Cluster_07585	479.3277694	502.3169904	32.68539906	1744.202329	54965.03125	52904.79297	51330.21875	54789.53516	53044.05859
Cluster_07587	479.3341615	502.3233825	11.95280353	658.3739489	1714.838623	1693.409302	1620.543701	1838.759033	1729.887207
Cluster_07589	479.337091	502.326312	30.6689651	1634.059385	3419.949219	3306.498291	2899.701416	2659.254883	3129.923584
Cluster_07601	484.3063223	502.3401483	32.68567055	1744.217328	1559.124146	1573.875122	1503.694458	1643.32605	1655.674438
Cluster_07605	480.1101822	503.0994032	11.18040201	631.4492196	3698.235107	3722.581055	3437.939697	3972.847656	3939.828613
Cluster_07609	502.2459725	503.2532485	2.598057011	398.7956399	4634.811035	4804.479492	5143.429199	5487.40332	5428.64209
Cluster_07610	502.2563301	503.2636061	2.59620051	398.5933971	1679.647461	1699.336548	1466.904907	1847.419922	2183.564209
Cluster_07633	486.2253416	504.2591676	23.53066479	1238.25593	3159.761475	3710.888184	3657.493896	3736.38501	3986.009521
Cluster_07637	503.2984172	504.3056932	25.46821667	1348.27719	3347.850342	3347.230713	2872.973389	3094.14209	3808.244873
Cluster_07638	481.3168403	504.3060613	30.46283542	1622.884213	5398.838379	5377.214844	4554.54541	4522.286133	4685.925293
Cluster_07639	481.3194359	504.3086569	26.43979336	1402.887488	19326.43555	16067.30762	13867.24023	14385.30469	13940.21973
Cluster_07641	486.2749392	504.3087652	26.92421189	1429.634824	20031.40625	19273.32617	18910.11133	20247.83594	19586.85742
Cluster_07657	482.3490573	505.3382783	15.12925864	785.3223049	2448.516602	2380.048096	2259.010498	2675.5271	2264.332275
Cluster_07670	488.2043747	506.2382007	22.79105719	1195.934481	1981.081421	1806.296753	1866.703979	1932.854614	2063.053955
Cluster_07687	505.3170433	506.3243193	28.11763205	1495.529931	19797.6875	16659.51172	14712.2207	15463.0791	15338.03418
Cluster_07688	505.3172599	506.3245359	28.67453361	1525.836508	31667.61328	29909.39258	29540.95703	32248.14258	32399.19336
Cluster_07689	505.3163138	506.3235898	24.19656168	1276.342824	1781.497681	1600.684448	1836.42627	1961.571289	2091.247559
Cluster_07699	484.1637433	507.1529643	13.58846182	719.0035586	22325.92188	20242.09766	20242.89844	21333.96094	20797.27539
Cluster_07702	506.2648276	507.2721036	32.68131458	1743.976689	16249.1709	16243.0625	14209.22559	15465.93359	13678.45215
Cluster_07704	484.3535048	507.3427258	28.6758325	1525.907018	1035.047485	1332.895386	1203.898438	1323.338989	1306.861938
Cluster_07706	507.1180919	508.1253679	10.68444638	614.160969	1166.728638	1057.729004	1051.863159	1213.379761	1144.720459
Cluster_07710	507.1587587	508.1660347	13.58730022	718.9535613	1904.953247	1921.172241	1659.860962	1809.057373	1940.653442
Cluster_07713	490.1777226	508.2115486	26.96557969	1431.918962	1111.387695	1084.508179	1215.335083	1304.502563	1207.601807
Cluster_07719	485.279864	508.269085	24.28653499	1281.488972	2391.884033	2210.766113	2294.273926	2505.306396	2076.47998
Cluster_07724	490.242401	508.276227	24.28644824	1281.48401	1168.018799	1259.063477	1101.087524	1213.888428	1301.248413
Cluster_07727	490.2692866	508.3031126	28.88197066	1537.097166	2823.424805	2620.570557	2513.883057	2494.018066	2319.25
Cluster_07739	490.3064725	508.3402985	26.23095511	1391.192193	58331.82031	53456.47656	53902.09375	60953.48828	66005.30469
Cluster_07740	507.3327982	508.3400742	26.81992665	1423.876679	382635.0625	360826.4688	364168.8438	401576.6875	439347.5
Cluster_07741	490.305467	508.339293	30.38511258	1618.670525	2260.894043	2157.269531	1981.743164	1954.55835	2185.203369
Cluster_07742	490.3059349	508.3397609	31.02297316	1653.251678	11302.64551	12014.14551	10902.99316	11424.73633	12203.21582
Cluster_07750	490.356234	508.39006	26.81939076	1423.84709	5669.018555	5334.091797	5169.532715	5912.429688	6045.228027
Cluster_07772	492.2740845	510.3079105	30.92246062	1647.802463	1701.848145	2140.717773	2265.117676	2650.641602	3286.69873
Cluster_07774	492.321585	510.355411	34.41435593	1841.370867	12354.25488	10517.41602	10260.02637	10775.91797	10200.38281
Cluster_07775	492.3220152	510.3558412	28.19225661	1499.650352	44381.74609	40810.40234	39741.35547	44707.06641	45731.78516
Cluster_07776	492.3219547	510.3557807	28.86270827	1536.051513	332248.7188	305548.75	306405.5625	346157.5313	336878.6563
Cluster_07782	509.3846893	510.3919653	32.94695584	1758.651612	1664.550171	1722.938354	1826.523926	1843.9375	1993.368408
Cluster_07787	488.1285714	511.1177924	17.12191388	881.3424295	1381.90686	1310.223755	1259.399902	1419.430298	1361.865601
Cluster_07799	493.2572041	511.2910301	13.97671529	735.7147063	2288.924805	1913.543579	1751.809082	1905.944946	1824.087524
Cluster_07819	511.2907883	512.2980643	29.7722979	1585.428315	3874.909912	3671.513672	3411.308838	3481.258789	2947.290283
Cluster_07822	494.3417433	512.3755693	28.86046466	1535.92972	2202.822998	2648.154541	2352.040527	2536.1875	2528.690918
Cluster_07827	490.1232321	513.1124531	6.460203951	512.0630643	2436.095215	2448.78125	3083.877686	3250.279785	3162.208496
Cluster_07832	490.2714367	513.2606577	26.71583743	1418.129357	1403.149658	1097.932373	1078.177856	1192.6521	1080.104126
Cluster_07853	496.0764718	514.1102978	15.58477333	805.6392868	1308.108765	1288.401611	1353.755981	1367.035034	1418.076904
