id	name	formula	inchikey	exactmass
M_xoltetrol_c	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane	C27H48O4	XJZGNVBLVFOSKJ-XZULNKEGSA-N	436.35526
M_cholcoaone_c	3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA(4-)	C48H78N7O21P3S	AWLXQJGPNLCTLM-YFXOTMPNSA-N	1213.418435
M_cholcoads_c	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA(4-)	C48H78N7O20P3S	QVDPWQVOSKJUES-JMOYVIBVSA-N	1197.42352
M_thcholst_c	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al	C27H46O4	USFJGINJGUIFSY-XZULNKEGSA-N	434.33961
M_xoltriol_c	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane	C27H48O3	RIVQQZVHIVNQFH-XJZYBRFWSA-N	420.3603454
M_thcholstoic_c	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	C27H46O5	CNWPIIOQKZNXBB-VCVMUKOKSA-N	450.3345246
M_cholcoar_c	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA(4-)	C48H80N7O20P3S	MNYDLIUNNOCPHG-FJWDCHQMSA-N	1199.43917
M_cholcoas_c	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA(S)	C48H80N7O20P3S	MNYDLIUNNOCPHG-SEGQUPMDSA-N	1199.43917
M_3dhguln_c	3-Dehydro-L-gulonate	C6H10O7	WTAHRPBPWHCMHW-LWKDLAHASA-N	194.0426527
M_3dsphgn_c	3-Dehydrosphinganine	C18H37NO2	KBUNOSOGGAARKZ-KRWDZBQOSA-N	299.2824294
M_3dmub_m	3-demethylubiquinol-9	C53H82O4	ALAJATOGWWBPQT-NSCWJZNLSA-N	782.6213111
M_3dpminol_n	3-diphospho-1D-myo-inositol(1,2,4,5,6)pentakisphosphate	C6H19O27P7	UPHPWXPNZIOZJL-PTQMNWPWSA-N	739.8277043
M_3hmp_n	3-Hydroxy-2-methylpropanoate	C4H8O3	DBXBTMSZEOQQDU-UHFFFAOYSA-N	104.0473441
M_3hanthrn_c	3-Hydroxyanthranilate	C7H7NO3	WJXSWCUQABXPFS-UHFFFAOYSA-N	153.0425931
M_hoxdcoa_c	(R)-3-hydroxydocosanoyl-CoA(4-)	C43H78N7O18P3S	VNJQSRVXTRJVAZ-ZUIQSSPPSA-N	1105.433691
M_3hivcoa_c	3-hydroxyisovaleryl-CoA(4-)	C26H44N7O18P3S	PEVZKILCBDEOBT-CITAKDKDSA-N	867.1676398
